# Renewables.ninja Solar PV (Point API) - 56.246, 9.199 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC", "missing": "binary flag"}, "params": {"local_time": true, "header": true, "lat": "56.24576350855988", "lon": "9.199146271680126", "date_from": "2015-01-01", "date_to": "2015-12-31", "dataset": "sarah", "capacity": "1000", "system_loss": "0.25", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,5.404,0
2015-01-01 01:00,2015-01-01 02:00,0,0,0,5.867,0
2015-01-01 02:00,2015-01-01 03:00,0,0,0,5.946,0
2015-01-01 03:00,2015-01-01 04:00,0,0,0,5.548,0
2015-01-01 04:00,2015-01-01 05:00,0,0,0,5.391,0
2015-01-01 05:00,2015-01-01 06:00,0,0,0,5.737,0
2015-01-01 06:00,2015-01-01 07:00,0,0,0,6.323,0
2015-01-01 07:00,2015-01-01 08:00,0,0,0,6.794,0
2015-01-01 08:00,2015-01-01 09:00,0,0.001,0.002,7.043,0
2015-01-01 09:00,2015-01-01 10:00,1.735,0.001,0.009,7.225,0
2015-01-01 10:00,2015-01-01 11:00,30.178,0.022,0.032,7.409,0
2015-01-01 11:00,2015-01-01 12:00,4.128,0,0.015,7.512,0
2015-01-01 12:00,2015-01-01 13:00,18.067,0.007,0.030,7.516,0
2015-01-01 13:00,2015-01-01 14:00,9.002,0.002,0.021,7.479,0
2015-01-01 14:00,2015-01-01 15:00,0.652,0.001,0.007,7.459,0
2015-01-01 15:00,2015-01-01 16:00,0,0,0,7.424,0
2015-01-01 16:00,2015-01-01 17:00,0,0,0,7.389,0
2015-01-01 17:00,2015-01-01 18:00,0,0,0,7.364,0
2015-01-01 18:00,2015-01-01 19:00,0,0,0,7.258,0
2015-01-01 19:00,2015-01-01 20:00,0,0,0,7.084,0
2015-01-01 20:00,2015-01-01 21:00,0,0,0,6.710,0
2015-01-01 21:00,2015-01-01 22:00,0,0,0,7.050,0
2015-01-01 22:00,2015-01-01 23:00,0,0,0,7.910,0
2015-01-01 23:00,2015-01-02 00:00,0,0,0,8.361,0
2015-01-02 00:00,2015-01-02 01:00,0,0,0,8.654,0
2015-01-02 01:00,2015-01-02 02:00,0,0,0,8.921,0
2015-01-02 02:00,2015-01-02 03:00,0,0,0,9.363,0
2015-01-02 03:00,2015-01-02 04:00,0,0,0,9.883,0
2015-01-02 04:00,2015-01-02 05:00,0,0,0,10.312,0
2015-01-02 05:00,2015-01-02 06:00,0,0,0,10.194,0
2015-01-02 06:00,2015-01-02 07:00,0,0,0,8.968,0
2015-01-02 07:00,2015-01-02 08:00,0,0,0,7.698,0
2015-01-02 08:00,2015-01-02 09:00,28.136,0.047,0.004,6.937,0
2015-01-02 09:00,2015-01-02 10:00,97.820,0.123,0.018,6.627,0
2015-01-02 10:00,2015-01-02 11:00,251.274,0.294,0.040,6.608,0
2015-01-02 11:00,2015-01-02 12:00,367.943,0.429,0.060,6.483,0
2015-01-02 12:00,2015-01-02 13:00,180.947,0.190,0.054,6.336,0
2015-01-02 13:00,2015-01-02 14:00,65.520,0.065,0.035,6.110,0
2015-01-02 14:00,2015-01-02 15:00,71.757,0.096,0.011,5.717,0
2015-01-02 15:00,2015-01-02 16:00,0,0,0,5.377,0
2015-01-02 16:00,2015-01-02 17:00,0,0,0,5.150,0
2015-01-02 17:00,2015-01-02 18:00,0,0,0,5.086,0
2015-01-02 18:00,2015-01-02 19:00,0,0,0,5.031,0
2015-01-02 19:00,2015-01-02 20:00,0,0,0,4.758,0
2015-01-02 20:00,2015-01-02 21:00,0,0,0,4.264,0
2015-01-02 21:00,2015-01-02 22:00,0,0,0,4.123,0
2015-01-02 22:00,2015-01-02 23:00,0,0,0,4.245,0
2015-01-02 23:00,2015-01-03 00:00,0,0,0,4.604,0
2015-01-03 00:00,2015-01-03 01:00,0,0,0,4.993,0
2015-01-03 01:00,2015-01-03 02:00,0,0,0,5.167,0
2015-01-03 02:00,2015-01-03 03:00,0,0,0,5.129,0
2015-01-03 03:00,2015-01-03 04:00,0,0,0,5.003,0
2015-01-03 04:00,2015-01-03 05:00,0,0,0,4.978,0
2015-01-03 05:00,2015-01-03 06:00,0,0,0,5.050,0
2015-01-03 06:00,2015-01-03 07:00,0,0,0,5.074,0
2015-01-03 07:00,2015-01-03 08:00,0,0,0,5.017,0
2015-01-03 08:00,2015-01-03 09:00,7.371,0.016,0.004,4.990,0
2015-01-03 09:00,2015-01-03 10:00,278.417,0.341,0.026,5.168,0
2015-01-03 10:00,2015-01-03 11:00,202.008,0.221,0.049,5.341,0
2015-01-03 11:00,2015-01-03 12:00,311.419,0.350,0.061,5.299,0
2015-01-03 12:00,2015-01-03 13:00,277.466,0.316,0.050,5.014,0
2015-01-03 13:00,2015-01-03 14:00,354.333,0.421,0.045,4.524,0
2015-01-03 14:00,2015-01-03 15:00,17.179,0.022,0.013,3.897,0
2015-01-03 15:00,2015-01-03 16:00,0,0,0,3.408,0
2015-01-03 16:00,2015-01-03 17:00,0,0,0,3.106,0
2015-01-03 17:00,2015-01-03 18:00,0,0,0,2.964,0
2015-01-03 18:00,2015-01-03 19:00,0,0,0,2.919,0
2015-01-03 19:00,2015-01-03 20:00,0,0,0,2.877,0
2015-01-03 20:00,2015-01-03 21:00,0,0,0,2.637,0
2015-01-03 21:00,2015-01-03 22:00,0,0,0,2.188,0
2015-01-03 22:00,2015-01-03 23:00,0,0,0,1.771,0
2015-01-03 23:00,2015-01-04 00:00,0,0,0,1.528,0
2015-01-04 00:00,2015-01-04 01:00,0,0,0,1.543,0
2015-01-04 01:00,2015-01-04 02:00,0,0,0,1.789,0
2015-01-04 02:00,2015-01-04 03:00,0,0,0,2.122,0
2015-01-04 03:00,2015-01-04 04:00,0,0,0,2.347,0
2015-01-04 04:00,2015-01-04 05:00,0,0,0,2.347,0
2015-01-04 05:00,2015-01-04 06:00,0,0,0,2.106,0
2015-01-04 06:00,2015-01-04 07:00,0,0,0,1.752,0
2015-01-04 07:00,2015-01-04 08:00,0,0,0,1.447,0
2015-01-04 08:00,2015-01-04 09:00,10.893,0.022,0.004,1.558,0
2015-01-04 09:00,2015-01-04 10:00,328.537,0.403,0.025,2.305,0
2015-01-04 10:00,2015-01-04 11:00,470.255,0.580,0.043,3.140,0
2015-01-04 11:00,2015-01-04 12:00,468.480,0.566,0.056,3.688,0
2015-01-04 12:00,2015-01-04 13:00,439.751,0.523,0.059,3.834,0
2015-01-04 13:00,2015-01-04 14:00,268.610,0.304,0.048,3.518,0
2015-01-04 14:00,2015-01-04 15:00,66.448,0.081,0.019,2.654,0
2015-01-04 15:00,2015-01-04 16:00,0,0,0,2.192,0
2015-01-04 16:00,2015-01-04 17:00,0,0,0,2.250,0
2015-01-04 17:00,2015-01-04 18:00,0,0,0,2.699,0
2015-01-04 18:00,2015-01-04 19:00,0,0,0,3.079,0
2015-01-04 19:00,2015-01-04 20:00,0,0,0,3.385,0
2015-01-04 20:00,2015-01-04 21:00,0,0,0,3.679,0
2015-01-04 21:00,2015-01-04 22:00,0,0,0,3.876,0
2015-01-04 22:00,2015-01-04 23:00,0,0,0,4.210,0
2015-01-04 23:00,2015-01-05 00:00,0,0,0,4.698,0
2015-01-05 00:00,2015-01-05 01:00,0,0,0,5.223,0
2015-01-05 01:00,2015-01-05 02:00,0,0,0,5.574,0
2015-01-05 02:00,2015-01-05 03:00,0,0,0,5.705,0
2015-01-05 03:00,2015-01-05 04:00,0,0,0,5.630,0
2015-01-05 04:00,2015-01-05 05:00,0,0,0,5.588,0
2015-01-05 05:00,2015-01-05 06:00,0,0,0,5.613,0
2015-01-05 06:00,2015-01-05 07:00,0,0,0,5.530,0
2015-01-05 07:00,2015-01-05 08:00,0,0,0,5.414,0
2015-01-05 08:00,2015-01-05 09:00,7.344,0.016,0.004,5.505,0
2015-01-05 09:00,2015-01-05 10:00,22.393,0.024,0.019,5.717,0
2015-01-05 10:00,2015-01-05 11:00,6.799,0,0.019,5.886,0
2015-01-05 11:00,2015-01-05 12:00,7.365,0,0.020,5.886,0
2015-01-05 12:00,2015-01-05 13:00,4.125,0,0.015,5.755,0
2015-01-05 13:00,2015-01-05 14:00,2.739,0,0.012,5.467,0
2015-01-05 14:00,2015-01-05 15:00,0,0,0.003,4.849,0
2015-01-05 15:00,2015-01-05 16:00,0,0,0,4.337,0
2015-01-05 16:00,2015-01-05 17:00,0,0,0,4.108,0
2015-01-05 17:00,2015-01-05 18:00,0,0,0,3.795,0
2015-01-05 18:00,2015-01-05 19:00,0,0,0,3.508,0
2015-01-05 19:00,2015-01-05 20:00,0,0,0,3.321,0
2015-01-05 20:00,2015-01-05 21:00,0,0,0,3.369,0
2015-01-05 21:00,2015-01-05 22:00,0,0,0,3.632,0
2015-01-05 22:00,2015-01-05 23:00,0,0,0,3.888,0
2015-01-05 23:00,2015-01-06 00:00,0,0,0,4.042,0
2015-01-06 00:00,2015-01-06 01:00,0,0,0,4.132,0
2015-01-06 01:00,2015-01-06 02:00,0,0,0,4.248,0
2015-01-06 02:00,2015-01-06 03:00,0,0,0,4.410,0
2015-01-06 03:00,2015-01-06 04:00,0,0,0,4.503,0
2015-01-06 04:00,2015-01-06 05:00,0,0,0,4.604,0
2015-01-06 05:00,2015-01-06 06:00,0,0,0,4.664,0
2015-01-06 06:00,2015-01-06 07:00,0,0,0,4.564,0
2015-01-06 07:00,2015-01-06 08:00,0,0,0,4.363,0
2015-01-06 08:00,2015-01-06 09:00,0,0,0.001,4.110,0
2015-01-06 09:00,2015-01-06 10:00,0.385,0,0.007,3.995,0
2015-01-06 10:00,2015-01-06 11:00,4.180,0,0.015,4.020,0
2015-01-06 11:00,2015-01-06 12:00,7.930,0,0.021,4.055,0
2015-01-06 12:00,2015-01-06 13:00,8.298,0,0.022,4.056,0
2015-01-06 13:00,2015-01-06 14:00,4.815,0,0.016,3.958,0
2015-01-06 14:00,2015-01-06 15:00,0,0,0.004,3.756,0
2015-01-06 15:00,2015-01-06 16:00,0,0,0,3.486,0
2015-01-06 16:00,2015-01-06 17:00,0,0,0,3.171,0
2015-01-06 17:00,2015-01-06 18:00,0,0,0,2.868,0
2015-01-06 18:00,2015-01-06 19:00,0,0,0,2.570,0
2015-01-06 19:00,2015-01-06 20:00,0,0,0,2.290,0
2015-01-06 20:00,2015-01-06 21:00,0,0,0,2.080,0
2015-01-06 21:00,2015-01-06 22:00,0,0,0,1.941,0
2015-01-06 22:00,2015-01-06 23:00,0,0,0,1.894,0
2015-01-06 23:00,2015-01-07 00:00,0,0,0,2.010,0
2015-01-07 00:00,2015-01-07 01:00,0,0,0,2.475,0
2015-01-07 01:00,2015-01-07 02:00,0,0,0,3.411,0
2015-01-07 02:00,2015-01-07 03:00,0,0,0,4.315,0
2015-01-07 03:00,2015-01-07 04:00,0,0,0,4.487,0
2015-01-07 04:00,2015-01-07 05:00,0,0,0,3.884,0
2015-01-07 05:00,2015-01-07 06:00,0,0,0,3.295,0
2015-01-07 06:00,2015-01-07 07:00,0,0,0,3.165,0
2015-01-07 07:00,2015-01-07 08:00,0,0,0,2.977,0
2015-01-07 08:00,2015-01-07 09:00,17.024,0.031,0.004,3.167,0
2015-01-07 09:00,2015-01-07 10:00,297.716,0.363,0.028,4.366,0
2015-01-07 10:00,2015-01-07 11:00,275.335,0.312,0.052,5.260,0
2015-01-07 11:00,2015-01-07 12:00,193.234,0.206,0.053,5.643,0
2015-01-07 12:00,2015-01-07 13:00,136.468,0.139,0.049,5.629,0
2015-01-07 13:00,2015-01-07 14:00,97.364,0.095,0.044,5.188,0
2015-01-07 14:00,2015-01-07 15:00,30.242,0.036,0.017,4.527,0
2015-01-07 15:00,2015-01-07 16:00,0,0,0,4.518,0
2015-01-07 16:00,2015-01-07 17:00,0,0,0,4.673,0
2015-01-07 17:00,2015-01-07 18:00,0,0,0,4.604,0
2015-01-07 18:00,2015-01-07 19:00,0,0,0,4.744,0
2015-01-07 19:00,2015-01-07 20:00,0,0,0,5.021,0
2015-01-07 20:00,2015-01-07 21:00,0,0,0,5.564,0
2015-01-07 21:00,2015-01-07 22:00,0,0,0,5.770,0
2015-01-07 22:00,2015-01-07 23:00,0,0,0,5.648,0
2015-01-07 23:00,2015-01-08 00:00,0,0,0,5.367,0
2015-01-08 00:00,2015-01-08 01:00,0,0,0,5.109,0
2015-01-08 01:00,2015-01-08 02:00,0,0,0,4.950,0
2015-01-08 02:00,2015-01-08 03:00,0,0,0,5.080,0
2015-01-08 03:00,2015-01-08 04:00,0,0,0,5.708,0
2015-01-08 04:00,2015-01-08 05:00,0,0,0,6.578,0
2015-01-08 05:00,2015-01-08 06:00,0,0,0,7.281,0
2015-01-08 06:00,2015-01-08 07:00,0,0,0,7.638,0
2015-01-08 07:00,2015-01-08 08:00,0,0,0,7.730,0
2015-01-08 08:00,2015-01-08 09:00,0.773,0.004,0.004,7.712,0
2015-01-08 09:00,2015-01-08 10:00,56.346,0.063,0.025,7.634,0
2015-01-08 10:00,2015-01-08 11:00,98.503,0.091,0.051,7.619,0
2015-01-08 11:00,2015-01-08 12:00,104.336,0.095,0.054,7.417,0
2015-01-08 12:00,2015-01-08 13:00,17.804,0.008,0.029,7.132,0
2015-01-08 13:00,2015-01-08 14:00,24.498,0.011,0.035,6.623,0
2015-01-08 14:00,2015-01-08 15:00,2.673,0.001,0.011,6.112,0
2015-01-08 15:00,2015-01-08 16:00,0,0,0,5.775,0
2015-01-08 16:00,2015-01-08 17:00,0,0,0,5.575,0
2015-01-08 17:00,2015-01-08 18:00,0,0,0,5.445,0
2015-01-08 18:00,2015-01-08 19:00,0,0,0,5.232,0
2015-01-08 19:00,2015-01-08 20:00,0,0,0,4.844,0
2015-01-08 20:00,2015-01-08 21:00,0,0,0,4.505,0
2015-01-08 21:00,2015-01-08 22:00,0,0,0,4.434,0
2015-01-08 22:00,2015-01-08 23:00,0,0,0,4.352,0
2015-01-08 23:00,2015-01-09 00:00,0,0,0,4.363,0
2015-01-09 00:00,2015-01-09 01:00,0,0,0,4.368,0
2015-01-09 01:00,2015-01-09 02:00,0,0,0,4.519,0
2015-01-09 02:00,2015-01-09 03:00,0,0,0,4.649,0
2015-01-09 03:00,2015-01-09 04:00,0,0,0,4.605,0
2015-01-09 04:00,2015-01-09 05:00,0,0,0,4.160,0
2015-01-09 05:00,2015-01-09 06:00,0,0,0,3.381,0
2015-01-09 06:00,2015-01-09 07:00,0,0,0,2.353,0
2015-01-09 07:00,2015-01-09 08:00,0,0,0,3.888,0
2015-01-09 08:00,2015-01-09 09:00,27.070,0.045,0.005,6.300,0
2015-01-09 09:00,2015-01-09 10:00,239.710,0.289,0.030,6.049,0
2015-01-09 10:00,2015-01-09 11:00,102.665,0.115,0.031,5.676,0
2015-01-09 11:00,2015-01-09 12:00,21.913,0.002,0.040,5.523,0
2015-01-09 12:00,2015-01-09 13:00,21.273,0.003,0.038,5.506,0
2015-01-09 13:00,2015-01-09 14:00,92.185,0.116,0.017,5.758,0
2015-01-09 14:00,2015-01-09 15:00,111.876,0.136,0.022,6.550,0
2015-01-09 15:00,2015-01-09 16:00,0,0,0,6.754,0
2015-01-09 16:00,2015-01-09 17:00,0,0,0,6.624,0
2015-01-09 17:00,2015-01-09 18:00,0,0,0,6.308,0
2015-01-09 18:00,2015-01-09 19:00,0,0,0,5.951,0
2015-01-09 19:00,2015-01-09 20:00,0,0,0,5.525,0
2015-01-09 20:00,2015-01-09 21:00,0,0,0,5.095,0
2015-01-09 21:00,2015-01-09 22:00,0,0,0,4.756,0
2015-01-09 22:00,2015-01-09 23:00,0,0,0,4.518,0
2015-01-09 23:00,2015-01-10 00:00,0,0,0,4.416,0
2015-01-10 00:00,2015-01-10 01:00,0,0,0,4.277,0
2015-01-10 01:00,2015-01-10 02:00,0,0,0,4.045,0
2015-01-10 02:00,2015-01-10 03:00,0,0,0,3.988,0
2015-01-10 03:00,2015-01-10 04:00,0,0,0,3.720,0
2015-01-10 04:00,2015-01-10 05:00,0,0,0,3.978,0
2015-01-10 05:00,2015-01-10 06:00,0,0,0,6.265,0
2015-01-10 06:00,2015-01-10 07:00,0,0,0,8.321,0
2015-01-10 07:00,2015-01-10 08:00,0,0,0,9.084,0
2015-01-10 08:00,2015-01-10 09:00,0,0,0.001,9.427,0
2015-01-10 09:00,2015-01-10 10:00,2.328,0,0.011,9.580,0
2015-01-10 10:00,2015-01-10 11:00,139.084,0.155,0.039,9.681,0
2015-01-10 11:00,2015-01-10 12:00,144.822,0.164,0.037,9.356,0
2015-01-10 12:00,2015-01-10 13:00,26.348,0.010,0.039,7.864,0
2015-01-10 13:00,2015-01-10 14:00,31.062,0.031,0.024,6.904,0
2015-01-10 14:00,2015-01-10 15:00,22.889,0.031,0.013,6.211,0
2015-01-10 15:00,2015-01-10 16:00,0,0,0,5.414,0
2015-01-10 16:00,2015-01-10 17:00,0,0,0,5.194,0
2015-01-10 17:00,2015-01-10 18:00,0,0,0,5.499,0
2015-01-10 18:00,2015-01-10 19:00,0,0,0,5.172,0
2015-01-10 19:00,2015-01-10 20:00,0,0,0,4.628,0
2015-01-10 20:00,2015-01-10 21:00,0,0,0,4.473,0
2015-01-10 21:00,2015-01-10 22:00,0,0,0,4.462,0
2015-01-10 22:00,2015-01-10 23:00,0,0,0,4.484,0
2015-01-10 23:00,2015-01-11 00:00,0,0,0,4.418,0
2015-01-11 00:00,2015-01-11 01:00,0,0,0,4.293,0
2015-01-11 01:00,2015-01-11 02:00,0,0,0,4.143,0
2015-01-11 02:00,2015-01-11 03:00,0,0,0,3.943,0
2015-01-11 03:00,2015-01-11 04:00,0,0,0,3.755,0
2015-01-11 04:00,2015-01-11 05:00,0,0,0,3.626,0
2015-01-11 05:00,2015-01-11 06:00,0,0,0,3.553,0
2015-01-11 06:00,2015-01-11 07:00,0,0,0,3.513,0
2015-01-11 07:00,2015-01-11 08:00,0,0,0,3.512,0
2015-01-11 08:00,2015-01-11 09:00,0,0,0.001,3.613,0
2015-01-11 09:00,2015-01-11 10:00,137.577,0.162,0.026,3.799,0
2015-01-11 10:00,2015-01-11 11:00,240.562,0.278,0.039,3.962,0
2015-01-11 11:00,2015-01-11 12:00,175.051,0.188,0.047,4.160,0
2015-01-11 12:00,2015-01-11 13:00,186.124,0.206,0.043,4.360,0
2015-01-11 13:00,2015-01-11 14:00,204.451,0.237,0.034,4.355,0
2015-01-11 14:00,2015-01-11 15:00,2.004,0.001,0.010,4.274,0
2015-01-11 15:00,2015-01-11 16:00,0,0,0,4.284,0
2015-01-11 16:00,2015-01-11 17:00,0,0,0,4.345,0
2015-01-11 17:00,2015-01-11 18:00,0,0,0,4.372,0
2015-01-11 18:00,2015-01-11 19:00,0,0,0,4.362,0
2015-01-11 19:00,2015-01-11 20:00,0,0,0,4.193,0
2015-01-11 20:00,2015-01-11 21:00,0,0,0,3.829,0
2015-01-11 21:00,2015-01-11 22:00,0,0,0,3.362,0
2015-01-11 22:00,2015-01-11 23:00,0,0,0,3.069,0
2015-01-11 23:00,2015-01-12 00:00,0,0,0,3.490,0
2015-01-12 00:00,2015-01-12 01:00,0,0,0,4.400,0
2015-01-12 01:00,2015-01-12 02:00,0,0,0,5.322,0
2015-01-12 02:00,2015-01-12 03:00,0,0,0,5.909,0
2015-01-12 03:00,2015-01-12 04:00,0,0,0,6.217,0
2015-01-12 04:00,2015-01-12 05:00,0,0,0,6.277,0
2015-01-12 05:00,2015-01-12 06:00,0,0,0,6.417,0
2015-01-12 06:00,2015-01-12 07:00,0,0,0,6.514,0
2015-01-12 07:00,2015-01-12 08:00,0,0,0,6.578,0
2015-01-12 08:00,2015-01-12 09:00,1.084,0.004,0.004,6.749,0
2015-01-12 09:00,2015-01-12 10:00,7.582,0.004,0.016,6.965,0
2015-01-12 10:00,2015-01-12 11:00,16.036,0.001,0.033,7.071,0
2015-01-12 11:00,2015-01-12 12:00,16.652,0,0.035,7.137,0
2015-01-12 12:00,2015-01-12 13:00,9.460,0.002,0.022,7.342,0
2015-01-12 13:00,2015-01-12 14:00,1.312,0,0.009,7.828,0
2015-01-12 14:00,2015-01-12 15:00,0,0,0.004,8.410,0
2015-01-12 15:00,2015-01-12 16:00,0,0,0,8.368,0
2015-01-12 16:00,2015-01-12 17:00,0,0,0,7.428,0
2015-01-12 17:00,2015-01-12 18:00,0,0,0,6.348,0
2015-01-12 18:00,2015-01-12 19:00,0,0,0,5.812,0
2015-01-12 19:00,2015-01-12 20:00,0,0,0,5.597,0
2015-01-12 20:00,2015-01-12 21:00,0,0,0,5.472,0
2015-01-12 21:00,2015-01-12 22:00,0,0,0,5.478,0
2015-01-12 22:00,2015-01-12 23:00,0,0,0,5.421,0
2015-01-12 23:00,2015-01-13 00:00,0,0,0,5.176,0
2015-01-13 00:00,2015-01-13 01:00,0,0,0,4.694,0
2015-01-13 01:00,2015-01-13 02:00,0,0,0,4.106,0
2015-01-13 02:00,2015-01-13 03:00,0,0,0,3.708,0
2015-01-13 03:00,2015-01-13 04:00,0,0,0,3.589,0
2015-01-13 04:00,2015-01-13 05:00,0,0,0,3.652,0
2015-01-13 05:00,2015-01-13 06:00,0,0,0,3.698,0
2015-01-13 06:00,2015-01-13 07:00,0,0,0,3.638,0
2015-01-13 07:00,2015-01-13 08:00,0,0,0,3.618,0
2015-01-13 08:00,2015-01-13 09:00,0,0,0.003,3.759,0
2015-01-13 09:00,2015-01-13 10:00,15.841,0.009,0.025,4.082,0
2015-01-13 10:00,2015-01-13 11:00,68.161,0.063,0.039,4.689,0
2015-01-13 11:00,2015-01-13 12:00,116.959,0.095,0.069,5.476,0
2015-01-13 12:00,2015-01-13 13:00,102.956,0.080,0.067,6.274,0
2015-01-13 13:00,2015-01-13 14:00,41.535,0.024,0.045,6.608,0
2015-01-13 14:00,2015-01-13 15:00,59.213,0.069,0.023,5.854,0
2015-01-13 15:00,2015-01-13 16:00,0,0,0.001,4.599,0
2015-01-13 16:00,2015-01-13 17:00,0,0,0,3.288,0
2015-01-13 17:00,2015-01-13 18:00,0,0,0,2.248,0
2015-01-13 18:00,2015-01-13 19:00,0,0,0,1.826,0
2015-01-13 19:00,2015-01-13 20:00,0,0,0,2.061,0
2015-01-13 20:00,2015-01-13 21:00,0,0,0,2.265,0
2015-01-13 21:00,2015-01-13 22:00,0,0,0,2.765,0
2015-01-13 22:00,2015-01-13 23:00,0,0,0,3.269,0
2015-01-13 23:00,2015-01-14 00:00,0,0,0,3.402,0
2015-01-14 00:00,2015-01-14 01:00,0,0,0,3.484,0
2015-01-14 01:00,2015-01-14 02:00,0,0,0,3.394,0
2015-01-14 02:00,2015-01-14 03:00,0,0,0,3.266,0
2015-01-14 03:00,2015-01-14 04:00,0,0,0,2.885,0
2015-01-14 04:00,2015-01-14 05:00,0,0,0,2.158,0
2015-01-14 05:00,2015-01-14 06:00,0,0,0,1.799,0
2015-01-14 06:00,2015-01-14 07:00,0,0,0,1.800,0
2015-01-14 07:00,2015-01-14 08:00,0,0,0,1.741,0
2015-01-14 08:00,2015-01-14 09:00,0.020,0.002,0.004,1.987,0
2015-01-14 09:00,2015-01-14 10:00,8.429,0.002,0.020,2.678,0
2015-01-14 10:00,2015-01-14 11:00,14.764,0.001,0.031,3.296,0
2015-01-14 11:00,2015-01-14 12:00,71.012,0.050,0.055,3.720,0
2015-01-14 12:00,2015-01-14 13:00,139.613,0.128,0.063,3.736,0
2015-01-14 13:00,2015-01-14 14:00,55.668,0.051,0.035,3.349,0
2015-01-14 14:00,2015-01-14 15:00,221.278,0.260,0.031,2.692,0
2015-01-14 15:00,2015-01-14 16:00,27.662,0.046,0.004,2.234,0
2015-01-14 16:00,2015-01-14 17:00,0,0,0,2.256,0
2015-01-14 17:00,2015-01-14 18:00,0,0,0,2.012,0
2015-01-14 18:00,2015-01-14 19:00,0,0,0,1.827,0
2015-01-14 19:00,2015-01-14 20:00,0,0,0,1.709,0
2015-01-14 20:00,2015-01-14 21:00,0,0,0,1.676,0
2015-01-14 21:00,2015-01-14 22:00,0,0,0,1.759,0
2015-01-14 22:00,2015-01-14 23:00,0,0,0,2.056,0
2015-01-14 23:00,2015-01-15 00:00,0,0,0,2.645,0
2015-01-15 00:00,2015-01-15 01:00,0,0,0,2.911,0
2015-01-15 01:00,2015-01-15 02:00,0,0,0,2.540,0
2015-01-15 02:00,2015-01-15 03:00,0,0,0,2.252,0
2015-01-15 03:00,2015-01-15 04:00,0,0,0,1.920,0
2015-01-15 04:00,2015-01-15 05:00,0,0,0,1.643,0
2015-01-15 05:00,2015-01-15 06:00,0,0,0,1.641,0
2015-01-15 06:00,2015-01-15 07:00,0,0,0,1.648,0
2015-01-15 07:00,2015-01-15 08:00,0,0,0,1.596,0
2015-01-15 08:00,2015-01-15 09:00,0,0,0.003,1.414,0
2015-01-15 09:00,2015-01-15 10:00,4.971,0,0.016,1.680,0
2015-01-15 10:00,2015-01-15 11:00,60.355,0.047,0.045,2.457,0
2015-01-15 11:00,2015-01-15 12:00,19.351,0.001,0.037,3.893,0
2015-01-15 12:00,2015-01-15 13:00,11.922,0,0.028,5.551,0
2015-01-15 13:00,2015-01-15 14:00,7.571,0,0.021,6.271,0
2015-01-15 14:00,2015-01-15 15:00,32.116,0.039,0.017,6.465,0
2015-01-15 15:00,2015-01-15 16:00,0,0,0.001,6.236,0
2015-01-15 16:00,2015-01-15 17:00,0,0,0,5.857,0
2015-01-15 17:00,2015-01-15 18:00,0,0,0,5.577,0
2015-01-15 18:00,2015-01-15 19:00,0,0,0,5.337,0
2015-01-15 19:00,2015-01-15 20:00,0,0,0,5.269,0
2015-01-15 20:00,2015-01-15 21:00,0,0,0,5.379,0
2015-01-15 21:00,2015-01-15 22:00,0,0,0,5.670,0
2015-01-15 22:00,2015-01-15 23:00,0,0,0,5.895,0
2015-01-15 23:00,2015-01-16 00:00,0,0,0,5.807,0
2015-01-16 00:00,2015-01-16 01:00,0,0,0,5.146,0
2015-01-16 01:00,2015-01-16 02:00,0,0,0,4.985,0
2015-01-16 02:00,2015-01-16 03:00,0,0,0,5.275,0
2015-01-16 03:00,2015-01-16 04:00,0,0,0,5.397,0
2015-01-16 04:00,2015-01-16 05:00,0,0,0,5.370,0
2015-01-16 05:00,2015-01-16 06:00,0,0,0,5.485,0
2015-01-16 06:00,2015-01-16 07:00,0,0,0,5.647,0
2015-01-16 07:00,2015-01-16 08:00,0,0,0,5.773,0
2015-01-16 08:00,2015-01-16 09:00,8.796,0.018,0.005,5.995,0
2015-01-16 09:00,2015-01-16 10:00,52.818,0.049,0.034,6.196,0
2015-01-16 10:00,2015-01-16 11:00,60.007,0.043,0.050,6.353,0
2015-01-16 11:00,2015-01-16 12:00,26.371,0.011,0.038,6.383,0
2015-01-16 12:00,2015-01-16 13:00,236.753,0.242,0.073,6.239,0
2015-01-16 13:00,2015-01-16 14:00,72.073,0.056,0.052,5.835,0
2015-01-16 14:00,2015-01-16 15:00,8.076,0.005,0.016,5.127,0
2015-01-16 15:00,2015-01-16 16:00,0,0.001,0.001,4.373,0
2015-01-16 16:00,2015-01-16 17:00,0,0,0,4.069,0
2015-01-16 17:00,2015-01-16 18:00,0,0,0,3.806,0
2015-01-16 18:00,2015-01-16 19:00,0,0,0,3.584,0
2015-01-16 19:00,2015-01-16 20:00,0,0,0,3.436,0
